City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sinabang,2.4803,96.3801,300.37,80,99,1.55,ID,1682680623
1,tazovsky,67.4667,78.7,266.89,91,82,7.62,RU,1682680623
2,fale old settlement,-9.3852,-171.2468,302.07,75,68,9.18,TK,1682680624
3,port-aux-francais,-49.35,70.2167,279.32,70,20,10.15,TF,1682680624
4,el nido,11.1858,119.3956,301.63,76,16,4.77,PH,1682680624
5,thinadhoo,0.5333,72.9333,301.98,71,98,3.91,MV,1682680624
6,trail,49.0998,-117.7022,279.8,92,60,1.57,CA,1682680625
7,blackmans bay,-43.0167,147.3167,282.89,67,80,3.1,AU,1682680626
8,argo,37.6333,22.7333,291.92,34,4,2.99,GR,1682680626
9,whitehorse,60.7161,-135.0538,274.58,64,40,4.12,CA,1682680626
10,georgetown,5.4112,100.3354,304.11,70,20,3.09,MY,1682680419
11,mwinilunga,-11.7358,24.4293,298.21,37,63,4.22,ZM,1682680627
12,carbonear,47.7332,-53.2148,276.01,83,100,6.42,CA,1682680627
13,howrah,22.5892,88.3103,307.15,52,75,2.06,IN,1682680628
14,mega,4.05,38.3,293.59,67,100,4.31,ET,1682680628
15,waitangi,-43.9535,-176.5597,285.27,90,54,6.56,NZ,1682680628
16,chernyshevsk,52.5243,117.0174,279.23,47,75,4.71,RU,1682680629
17,tupaciguara,-18.5922,-48.705,293.19,82,9,0.46,BR,1682680629
18,al burayqah,30.4062,19.5739,292.56,53,17,6.4,LY,1682680629
19,ponta delgada,37.7333,-25.6667,291.55,82,20,8.75,PT,1682680629
20,west island,-12.1568,96.8225,300.14,94,40,4.12,CC,1682680630
21,grytviken,-54.2811,-36.5092,273.85,69,85,0.68,GS,1682680630
22,helena valley west central,46.6629,-112.0604,275.3,79,0,2.06,US,1682680590
23,la passe,45.5549,-0.8967,297.28,75,99,2.11,FR,1682680630
24,arraial do cabo,-22.9661,-42.0278,295.07,94,100,3.6,BR,1682680630
25,bel ombre,-4.6167,55.4167,303.06,74,40,5.14,SC,1682680631
